# This  reference  spectrum  was taken on Mar-21 2022-03-21 by
# David.   In principle this is saved in Intensical itself but
# Princeton  Instruments   was unresponsive in retrieving this
# data.  As such the data needs to be hacked out of Lightfield
# itself    by  applying  the  intensity  calibration  on  the
# spectrum of the lamp itself.
# To  see the configuration under which this was done, see the
# file   /Log/Data/Intensical  REF.spe.  To  obtain  the  data
# contained in   this file, that data was resampled to have at
# intervals of 0.1 nm,  and an moving average with a stride of
# 10 was taken.
# The  x-axis  corresponds to wavelength in nm, and the y-axis
# is  the  spectrum  of the Intensical lamp normalized so that
# the  maximum is 1.
4.647e+02,1.95686003e-01
4.648e+02,1.94496438e-01
4.649e+02,1.93301123e-01
4.650e+02,1.92147247e-01
4.651e+02,1.90991503e-01
4.652e+02,1.89836932e-01
4.653e+02,1.88689989e-01
4.654e+02,1.87585841e-01
4.655e+02,1.86463418e-01
4.656e+02,1.85346413e-01
4.657e+02,1.84243500e-01
4.658e+02,1.83131127e-01
4.659e+02,1.81999558e-01
4.660e+02,1.80855670e-01
4.661e+02,1.79704079e-01
4.662e+02,1.78575408e-01
4.663e+02,1.77475319e-01
4.664e+02,1.76385656e-01
4.665e+02,1.75289635e-01
4.666e+02,1.74204586e-01
4.667e+02,1.73107601e-01
4.668e+02,1.72004925e-01
4.669e+02,1.70905745e-01
4.670e+02,1.69808820e-01
4.671e+02,1.68716379e-01
4.672e+02,1.67625141e-01
4.673e+02,1.66527926e-01
4.674e+02,1.65406469e-01
4.675e+02,1.64278034e-01
4.676e+02,1.63145236e-01
4.677e+02,1.62008158e-01
4.678e+02,1.60855828e-01
4.679e+02,1.59704300e-01
4.680e+02,1.58560440e-01
4.681e+02,1.57439695e-01
4.682e+02,1.56337725e-01
4.683e+02,1.55249033e-01
4.684e+02,1.54172240e-01
4.685e+02,1.53108603e-01
4.686e+02,1.52036500e-01
4.687e+02,1.50962148e-01
4.688e+02,1.49889594e-01
4.689e+02,1.48833978e-01
4.690e+02,1.47776939e-01
4.691e+02,1.46723508e-01
4.692e+02,1.45677912e-01
4.693e+02,1.44661293e-01
4.694e+02,1.43644111e-01
4.695e+02,1.42633343e-01
4.696e+02,1.41637656e-01
4.697e+02,1.40668293e-01
4.698e+02,1.39695212e-01
4.699e+02,1.38723610e-01
4.700e+02,1.37764900e-01
4.701e+02,1.36820619e-01
4.702e+02,1.35892819e-01
4.703e+02,1.34979785e-01
4.704e+02,1.34078027e-01
4.705e+02,1.33189016e-01
4.706e+02,1.32320323e-01
4.707e+02,1.31467212e-01
4.708e+02,1.30606669e-01
4.709e+02,1.29767170e-01
4.710e+02,1.28929799e-01
4.711e+02,1.28088722e-01
4.712e+02,1.27241062e-01
4.713e+02,1.26395067e-01
4.714e+02,1.25544773e-01
4.715e+02,1.24690383e-01
4.716e+02,1.23864720e-01
4.717e+02,1.23033598e-01
4.718e+02,1.22208782e-01
4.719e+02,1.21398969e-01
4.720e+02,1.20631540e-01
4.721e+02,1.19883838e-01
4.722e+02,1.19150913e-01
4.723e+02,1.18429126e-01
4.724e+02,1.17709910e-01
4.725e+02,1.16991928e-01
4.726e+02,1.16263689e-01
4.727e+02,1.15508165e-01
4.728e+02,1.14744729e-01
4.729e+02,1.13984021e-01
4.730e+02,1.13214327e-01
4.731e+02,1.12408968e-01
4.732e+02,1.11642968e-01
4.733e+02,1.10899650e-01
4.734e+02,1.10179053e-01
4.735e+02,1.09490258e-01
4.736e+02,1.08854396e-01
4.737e+02,1.08237509e-01
4.738e+02,1.07637924e-01
4.739e+02,1.07084057e-01
4.740e+02,1.06530493e-01
4.741e+02,1.05986022e-01
4.742e+02,1.05452573e-01
4.743e+02,1.04919077e-01
4.744e+02,1.04339297e-01
4.745e+02,1.03751694e-01
4.746e+02,1.03176241e-01
4.747e+02,1.02621193e-01
4.748e+02,1.02090825e-01
4.749e+02,1.01596024e-01
4.750e+02,1.01146859e-01
